Id,CreatorUserId,CurrentDatasetVersionId,CreationDate,TotalViews,TotalDownloads,TotalKernels,UserName,Slug
14,993,827864.0,12/21/2015 19:40:00,456893,72816,414,benhamner,sf-salaries
16,993,799881.0,12/28/2015 06:04:45,104926,23043,183,benhamner,first-gop-debate-twitter-sentiment
31,3258,7128.0,03/16/2016 00:00:00,23485,1998,73,wcukierski,2016-march-ml-mania
33,598000,793516.0,04/26/2016 22:33:46,141975,21060,104,,us-consumer-finance-complaints
48,623738,799978.0,05/24/2016 01:52:03,57334,2905,87,septa,on-time-performance
63,655525,589.0,07/09/2016 13:40:34,1571876,200930,1571,hugomathien,soccer
80,665595,178.0,07/27/2016 08:50:52,36866,3707,15,nelsonchu,air-quality-in-northern-taiwan
97,242339,220.0,08/18/2016 03:43:51,3555,139,2,samedelstein,precipitation-in-syracuse-ny
116,7764,800226.0,08/21/2016 17:21:08,20372,1165,24,mikaelhuss,swedish-school-fires
131,693375,273.0,08/26/2016 04:57:19,44224,2693,28,abcsds,pokemongo
