Id,ScriptId,ScriptLanguageId,AuthorUserId,CreationDate,Title,LanguageName,DatasetId
994609,206439,1,647792,03/10/2017 14:05:10,it is lit,R,
994630,206445,8,956097,03/10/2017 14:14:37,Notebookdcacfeed7f,Python,
1002624,206447,13,757115,03/13/2017 05:28:57,Notebookad8756e3c4,R,
994646,206450,8,957659,03/10/2017 14:18:39,Notebook31d0964bd3,Python,
994665,206454,8,650392,03/10/2017 14:24:36,Notebook612b6afba1,Python,
996665,206455,8,949654,03/11/2017 00:57:49,Notebook2e61322f02,Python,
994691,206456,1,516563,03/10/2017 14:33:25,it is lit,R,
994670,206457,8,957659,03/10/2017 14:25:46,Notebook51605a417e,Python,
994672,206458,8,555400,03/10/2017 14:26:53,Non-Negative Recommended System,Python,915
994673,206459,8,940038,03/10/2017 14:27:31,Notebook601d88e441,Python,
